id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
605;900 - 1998-2010;Caretta caretta;Tortuga Boba;11/08/1999;11/08/1999;1999;Agosto;Verano;Dos millas frente Pto. Colón;NA;89;Dos Millas Frente Pto. Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Indeterminado;Indeterminado;No;Necrosada aleta delantera iqda.Se remite al CRFS de Tafira, Gran Canaria el dia 13/08/99;NA;Aleta;Necrosada
608;854 - 1998-2010;Caretta caretta;Tortuga Boba;22/07/1999;22/07/1999;1999;Julio;Verano;Playa Bahía del Duque;NA;299;Playa Bahia Del Duque;Spa-Bahia del Duque;Adeje;38001;Indeterminado;Indeterminado;No;Aleta delantera iqda. Necrosada. Se remite al CRFS de Tafira Gran Canaria el 230799;NA;Aleta;Necrosada
617;9427 - 1998-2010;Caretta caretta;Tortuga Boba;28/09/2010;28/09/2010;2010;Septiembre;Otoño;Tabaibal del Poris;NA;489;Tabaibal Del Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;41 x 35 cm. Descompuesta, sin cabeza ni aletas;NA;Varias partes;NA
619;9362 - 1998-2010;Caretta caretta;Tortuga Boba;27/08/2010;27/08/2010;2010;Agosto;Verano;La Caleta de Interian;NA;171;La Caleta De Interian;Caleta de Interian, Garachico, Santa Cruz de Tenerife, Islas Canarias;Garachico;38015;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
621;9196 - 1998-2010;Caretta caretta;Tortuga Boba;09/07/2010;09/07/2010;2010;Julio;Verano;La Caleta;NA;168;La Caleta;La Caleta, Adeje, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Indeterminado;Indeterminado;No;NA;NA;NA;NA
647;3110 - 1998-2010;Caretta caretta;Tortuga Boba;30/10/2002;30/10/2002;2002;Octubre;Otoño;Tabaibal del Poris;NA;489;Tabaibal Del Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;APN;NA;NA;NA
648;2785 - 1998-2010;Caretta caretta;Tortuga Boba;02/07/2002;02/07/2002;2002;Julio;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;Recogida descompuesta, entregada en el PIRS;NA;NA;NA
657;2058 - 1998-2010;Caretta caretta;Tortuga Boba;08/06/2001;08/06/2001;2001;Junio;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;Se hunde y come;NA;NA;NA
659;1050 - 1998-2010;Caretta caretta;Tortuga Boba;09/11/1999;09/11/1999;1999;Noviembre;Otoño;Valle Gran Rey;NA;512;Valle Gran Rey;Valle Gran Rey, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Le falta la aleta delantera derecha. Se remite al CRFS de Tafira, Gran Canaria, el día 10/11/99.;NA;Aleta;NA
680;5463 - 1998-2010;Caretta caretta;Tortuga Boba;02/10/2005;02/10/2005;2005;Octubre;Otoño;Playa Taganana;NA;379;Playa Taganana;Playa;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Descompuesta;NA;NA;NA
688;2111 - 1998-2010;Caretta caretta;Tortuga Boba;22/06/2001;22/06/2001;2001;Junio;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;NA;NA;NA;NA
692;1463 - 1998-2010;Caretta caretta;Tortuga Boba;26/07/2000;26/07/2000;2000;Julio;Verano;Los Gigantes;NA;227;Los Gigantes;Los Gigantes;Santiago del Teide;38040;Indeterminado;Indeterminado;No;Recogida a una milla y media de Bco. Seco. No tiene nada;NA;NA;NA
694;960 - 1998-2010;Caretta caretta;Tortuga Boba;19/09/1999;19/09/1999;1999;Septiembre;Otoño;Abades;NA;5;Abades;Calle Abades, 38588, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;No;Se remite al CRFS de Tafira, Gran Canaria, el día 20/09/99. Tiene la aleta delantera izquierda necrosada. Peso: 16 kgr.;NA;Aleta;Necrosada
731;2569 - 1998-2010;Caretta caretta;Tortuga Boba;21/04/2002;21/04/2002;2002;Abril;Primavera;Candelaria;NA;53;Candelaria;Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Indeterminado;Indeterminado;No;Putrefacta;NA;NA;Putrefacta
