nombre;ficha;paraje;LRC;LCC;ARC;ACC;Peso;fecha_ok
Tortuga Boba;2332 - actual;puerto Colón;21,3;24;19;22,5;18;j
Tortuga Boba;2312 - actual;los Gigantes;32;36;28,5;35;5,4;j
Tortuga Boba;2289 - actual;Los Gigantes 1,5 millas;;;;;;j
Tortuga Boba;2197 - actual;Puerto Colón;;;;;;j
Tortuga Boba;2131 - actual;Puerto deportivo;;;;;;j
Tortuga Boba;2058 - actual;Fañabé (2 millas);37,5;41;33;40;7,2;j
Tortuga Boba;1869 - actual;Palmar;0;63;0;57;0;j
Tortuga Boba;1074 - actual;Los Gigantes;32,5;36;29;35;6,1;j
Tortuga Boba;1090 - actual;Roques de Anaga;84;90;67;84;97;j
Tortuga Boba;1005 - actual;Puertito de Güimar;35;0;30;0;0;j
Tortuga Boba;1004 - actual;Los Gigantes;31,5;45;27;43,5;0;j
Tortuga Boba;900 - actual;El Porís;27;30;24,5;29;0;j
Tortuga Boba;988 - actual;Playas de Fañabé;36,5;40;31;38;0;j
Tortuga Boba;982 - actual;Pyas.de Fañabé (Costa Adeje);25,8;28,6;21,5;27;2,8;j
Tortuga Boba;966 - actual;Puerto Colón;22,5;25;22;24;2,1;j
Tortuga Boba;962 - actual;El Porís;34,5;37;30;35;5,4;j
Tortuga Boba;956 - actual;Los Gigantes;53;60;44;60;21;j
Tortuga Boba;961 - actual;El Porís (Playa de la Punta);25;27;21;24;2,4;j
Tortuga Boba;911 - actual;El Porís;19,5;20;16,9;20;1,2;j
Tortuga Boba;955 - actual;Puerto Colón;36,5;44;30,5;40;9;j
Tortuga Boba;953 - actual;Puerto de Garachico;27,2;30;23,8;29;3,3;j
Tortuga Boba;946 - actual;Las Eras;29,8;33;25,8;30;4,7;j
Tortuga Boba;943 - actual;Las Eras;28;30;24,9;29;3,4;j
Tortuga Boba;2394 - actual;Puerto Colón;18,5;22;16,5;21;1,25;j
Tortuga Boba;2386 - actual;Los Gigantes;40;45;36,5;43;9,2;j
Tortuga Boba;2374 - actual;casco;27,5;30;24,8;29;3,9;j
Tortuga Boba;2371 - actual;Puerto Colón;35,5;38;29,5;36;6,7;j
Tortuga Boba;2362 - actual;Puerto Colón;19,8;17,2;22;21;1,3;j
Tortuga Boba;2361 - actual;Puerto Colón;18,2;16;2;20;1;j
Tortuga Boba;2353 - actual;Fañabé;29,5;33;26;31;4,1;a
Tortuga Boba;2331 - actual;Puerto Colón;45,2;50;39,5;48;14,5;a
Tortuga Boba;2324 - actual;Pto. Colón;24,5;28;22,5;25;3,1;a
Tortuga Boba;2307 - actual;Los Gigantes;;;;;;a
Tortuga Boba;2297 - actual;Fañabé (2 Millas);;;;;;a
Tortuga Boba;2295 - actual;El Poris;;;;;;a
Tortuga Boba;2288 - actual;Los Gigantes (2 millas);;;;;;a
Tortuga Boba;2276 - actual;Los Gigantes;;;;;;a
Tortuga Boba;2273 - actual;Caletillas;;;;;;a
Tortuga Boba;2256 - actual;Puerto Colón;;;;;;a
Tortuga Boba;2249 - actual;callao Salvaje;;;;;;a
Tortuga Boba;2248 - actual;Costa del Silencio;37,5;41;33;41;7,9;a
Tortuga Boba;2208 - actual;La Caleta;;;;;;a
Tortuga Boba;2203 - actual;Puerto colón;;;;;;a
Tortuga Boba;2196 - actual;El Médano;;;;;;a
Tortuga Boba;5391 - actual;Puerto Colón;18;20;14,7;19;0,858;a
Tortuga Boba;5382 - actual;Puerto Colón;53,5;57;45;55;23;a
Tortuga Boba;5370 - actual;la caleta;19,5;21;17,7;21;1,3;a
Tortuga Boba;5362 - actual;Los Gigantes;25,5;29;23;29;2,98;a
Tortuga Boba;5358 - actual;Puerto Colón;19,9;22;19;22;1,628;a
