id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
61;8462 - 1998-2010;Caretta caretta;Tortuga Boba;06/08/2009;06/08/2009;2009;Agosto;Verano;Puerto colón;NA;427;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Aleta delantera izda y cuello enmallados;Enredadas;Varias partes;NA
62;8442 - 1998-2010;Caretta caretta;Tortuga Boba;31/07/2009;31/07/2009;2009;Julio;Verano;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Aleta delantera izda necrosada, se amputa el 4/08;Amputación;Aleta;Necrosada
63;8437 - 1998-2010;Caretta caretta;Tortuga Boba;29/07/2009;29/07/2009;2009;Julio;Verano;Puerto;NA;420;Puerto;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Corte en aleta delantera izda;Cortes;Aleta;NA
64;8407 - 1998-2010;Caretta caretta;Tortuga Boba;19/07/2009;19/07/2009;2009;Julio;Verano;Radazul;NA;468;Radazul;Centro Comercial Radazul;Rosario, El;38032;Artes de pesca;Artes de pesca;No;Corte en el cuello, caparazón roto parte trasera. Se restaura el 23/7.;Cortes;Varias partes;NA
65;8389 - 1998-2010;Caretta caretta;Tortuga Boba;14/07/2009;14/07/2009;2009;Julio;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Artes de pesca;Artes de pesca;No;Amputación de la aleta delantera izda;Amputación;Aleta;NA
66;8351 - 1998-2010;Caretta caretta;Tortuga Boba;06/07/2009;06/07/2009;2009;Julio;Verano;Fañabé;NA;133;Fañabe;Fañabé, Adeje, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Aleta delantera izda inflamada;NA;Aleta;Infección
67;8332 - 1998-2010;Caretta caretta;Tortuga Boba;01/07/2009;01/07/2009;2009;Julio;Verano;El Poris;NA;107;El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;NA;NA;NA;NA
68;8272 - 1998-2010;Caretta caretta;Tortuga Boba;14/06/2009;14/06/2009;2009;Junio;Verano;Cmno. La Costa (La Punta);NA;71;Cmno. La Costa (la Punta);Calle La Punta, 38315, La Orotava, Santa Cruz de Tenerife, Islas Canarias;Orotava, La;38026;Otros;Otros;No;¡¡ no coments, qué olor !!!!;NA;NA;NA
69;8265 - 1998-2010;Caretta caretta;Tortuga Boba;13/06/2009;13/06/2009;2009;Junio;Verano;Playa Fañabé;NA;342;Playa Fañabe;Playa Fañabé, Adeje, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Aleta delantera izquierda inflamada.;NA;Aleta;Infección
70;8264 - 1998-2010;Caretta caretta;Tortuga Boba;13/06/2009;13/06/2009;2009;Junio;Verano;Los Gigantes;NA;227;Los Gigantes;Los Gigantes;Santiago del Teide;38040;Artes de pesca;Artes de pesca;Si;Aleta delantera izquierda inflamada. Flaca;NA;Aleta;NA
71;8244 - 1998-2010;Caretta caretta;Tortuga Boba;09/06/2009;09/06/2009;2009;Junio;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;Aleta Delantera derecha inflamada, enredad a los restos de un globo de radio sonda (meteorología) .;Enredadas;Aleta;Infección
72;8175 - 1998-2010;Caretta caretta;Tortuga Boba;17/05/2009;17/05/2009;2009;Mayo;Primavera;Los Balitos;NA;218;Los Balitos;Camino Los Balitos, 38626, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Artes de pesca;Artes de pesca;No;3,400Kg. Aleta delantera derecha, se le amputa el 19/05/09;Amputación;Aleta;NA
