Fecha;Especie;Nombre vulgar;Nº Ficha;Paraje;Causa;Muerte;Mun. recogida;Observaciones;Causa2;id_addr;address2
08/09/2013;Caretta caretta;Tortuga Boba;2515 - actual;Puerto Colón;Debilidad agotamiento;No;ADEJE;Flota, muy chiquita;Debilidad agotamiento;428;Puerto Colon
08/09/2013;Caretta caretta;Tortuga Boba;2513 - actual;Los Gigantes;Artes de pesca;No;SANTIAGO DEL TEIDE;Corte aleta delantera izda y herida en el caparazón;Artes de pesca;227;Los Gigantes
09/09/2016;Caretta caretta;Tortuga Boba;5944 - actual;Los Cristianos;Otros;No;ARONA;Gran estado de descomposición y con el intestino fuera. Servicio de limpieza se hace cargo.;Otros;220;Los Cristianos
18/06/2016;Caretta caretta;Tortuga Boba;5441 - actual;Playa de Fañabé;Artes de pesca;No;ADEJE;Aleta izquierda necrosada por enmallamiento. Amputada.;Artes de pesca;308;Playa De Fañabe
15/06/2016;Caretta caretta;Tortuga Boba;5423 - actual;Puerto colón;Otros;No;ADEJE;extracción de sangre, liberada en alta mar;Otros;427;Puerto Colon
26/05/2016;Caretta caretta;Tortuga Boba;5306 - actual;Punta Prieta;Enfermedad;No;GÜÍMAR;Flota. Analítica;Enfermedad;462;Punta Prieta
23/05/2016;Caretta caretta;Tortuga Boba;5285 - actual;Los Cristianos;Artes de pesca;No;ARONA;Aleta trasera izquierda necrosada por un saco de rafia. Se amputa. Sin microchip.;Artes de pesca;220;Los Cristianos
04/04/2016;Caretta caretta;Tortuga Boba;5084 - actual;Playa de Fañabé;Artes de pesca;No;ADEJE;Encontrada a 2 millas nauticas de la playa. Cuello, aletas traseras  y aleta delantera izquierda heridas por enmallamiento.;Artes de pesca;308;Playa De Fañabe
19/03/2016;Caretta caretta;Tortuga Boba;5053 - actual;puerto Colón;Artes de pesca;No;ADEJE;Enredada por la aleta delantera izquierda por nylon y una cuerda con una pequeña boya. Caparazón lleno de percebes. No tiene microchips.;Artes de pesca;426;Puerto Colon
06/11/2015;Caretta caretta;Tortuga Boba;4829 - actual;Fañabé;Artes de pesca;No;ADEJE;Aleta delantera izda 1/3 seccionada;Artes de pesca;133;Fañabe
02/11/2015;Caretta caretta;Tortuga Boba;4822 - actual;Puerto Colón;Indeterminado;No;ADEJE;el 112 llamó a Jaime y se fue a las 9 de la noche a buscarla, llevaba muerta varios días, podrida y con un agujero en la parte posterior del caparazón;Indeterminado;428;Puerto Colon
14/09/2015;Caretta caretta;Tortuga Boba;4692 - actual;Puerto Colón;Artes de pesca;No;ADEJE;Corte en el cuello producido por rafia;Artes de pesca;428;Puerto Colon
10/09/2015;Caretta caretta;Tortuga Boba;4674 - actual;Puerto Colón;Artes de pesca;No;ADEJE;Corte en el cuello producido por rafia o nylon;Artes de pesca;428;Puerto Colon
05/08/2015;Caretta caretta;Tortuga Boba;4556 - actual;Muelle;Artes de pesca;No;CANDELARIA;Enmallada en una gran red;Artes de pesca;259;Muelle
03/08/2015;Caretta caretta;Tortuga Boba;4548 - actual;Charco de La Araña;Artes de pesca;No;LOS SILOS;Aleta delantera izda necrosada. Se amputa;Artes de pesca;56;Charco De La Araña
17/07/2015;Caretta caretta;Tortuga Boba;4456 - actual;Playa San Juan (6 millas);Artes de pesca;Si;GUÍA DE ISORA;anzuelo en la garganta;Artes de pesca;376;Playa San Juan (6 Millas)
10/05/2015;Caretta caretta;Tortuga Boba;3883 - actual;Los Gigantes;Artes de pesca;No;SANTIAGO DEL TEIDE;heridas por enmallamiento en Aletas traseras cuello y caparazón, débil.;Artes de pesca;227;Los Gigantes
27/04/2015;Caretta caretta;Tortuga Boba;3848 - actual;El Porís de Abona;Indeterminado;No;ARICO;sin microchip.;Indeterminado;112;El Poris De Abona
21/04/2015;Caretta caretta;Tortuga Boba;3835 - actual;Playas de Fañabé;Enfermedad;No;ADEJE;flotando a la deriva (2,5 millas), con musgo en Caparazón y Aletas.;Enfermedad;381;Playas De Fañabe
23/10/2014;Caretta caretta;Tortuga Boba;3605 - actual;Fañabé;Artes de pesca;No;ADEJE;Cuello y aleta delantera izda inflamada por enmallamiento. No se amputa;Artes de pesca;133;Fañabe
22/08/2014;Caretta caretta;Tortuga Boba;3457 - actual;Boca Cangrejo;Artes de pesca;No;EL ROSARIO;tortugas (3456 y 3457) rescatadas juntas, enredadas en malla, flotando a la deriva.;Artes de pesca;40;Boca Cangrejo
07/08/2014;Caretta caretta;Tortuga Boba;3405 - actual;Playas de Fañabé;Debilidad agotamiento;No;ADEJE;flotando a la deriva.;Debilidad agotamiento;381;Playas De Fañabe
22/07/2014;Caretta caretta;Tortuga Boba;3312 - actual;Puerto Colón;Enfermedad;Si;ADEJE;Llena de musgo y Percebes, muy delgada y débil, pequeño golpe en el caparazón;Enfermedad;428;Puerto Colon
25/03/2014;Caretta caretta;Tortuga Boba;2840 - actual;Los Gigantes (2 millas);Debilidad agotamiento;No;SANTIAGO DEL TEIDE;Caparazón con musgp y percebes;Debilidad agotamiento;229;Los Gigantes (2 Millas)
17/03/2014;Caretta caretta;Tortuga Boba;2822 - actual;Los Gigantes;Debilidad agotamiento;No;SANTIAGO DEL TEIDE;APN- activa y come bien. A los tres dias paralisis de aletas delanteras por intox con carabela portuguesa. Se recupera bien.;Debilidad agotamiento;227;Los Gigantes
07/11/2013;Caretta caretta;Tortuga Boba;2666 - actual;Puerto Colón;Enfermedad;No;ADEJE;Infección en los ojos;Enfermedad;428;Puerto Colon
07/09/2013;Caretta caretta;Tortuga Boba;2509 - actual;Puerto Colón;Enfermedad;No;ADEJE;Con percebes y musgo en el caparazón;Enfermedad;428;Puerto Colon
30/08/2013;Caretta caretta;Tortuga Boba;2483 - actual;Los Cristianos;Artes de pesca;No;ARONA;gran corte en la parte superior del cuello, mucho tejido necrosado.;Artes de pesca;220;Los Cristianos
27/08/2013;Caretta caretta;Tortuga Boba;2472 - actual;Playas de Fañabé;Otros;No;ADEJE;flotando a la deriva, a 2 millas, con percebes en caparazón.;Otros;381;Playas De Fañabe
22/08/2013;Caretta caretta;Tortuga Boba;2458 - actual;Fañabé;Debilidad agotamiento;No;ADEJE;NA;Debilidad agotamiento;133;Fañabe
